,company,url
45,Narayana Hrudayalaya Ltd.,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/narayanahrudayalaya/NH
46,Narbada Gems and Jewellery Ltd.,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/narbadagemsjewellery/NGJ01
47,Narendra Properties Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/narendraproperties/NP13
48,Nariman Point Chemical Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/narimanpointchemicalindustries/NPC
49,Narmada Agrobase Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/narmadaagrobase/NA
50,Narmada Cement Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmini/narmadacement/NC08
51,Narmda Cement Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmajor/narmdacementcompany/NCC02
52,Narmada Chematur Petrochemicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/petrochemicals/narmadachematurpetrochemicals/NCP
53,Narmada Gelatines Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/narmadagelatines/NG02
54,Narmada Macplast Drip Irrigation Systems Ltd.,https://www.moneycontrol.com/india/stockpricequote/plastics/narmadamacplastdripirrigationsystems/NMD
55,Natco Economicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/natcoeconomicals/NE08
56,Natco Pharma Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/natcopharma/NP07
57,Natco Polyplast Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/natcopolyplast/NP02
58,Nath Bio-Genes Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/nathbiogenes/NBG
59,Nath Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/paper/nathindustrieslimited/RPP
60,Nath Pulp and Paper Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/paper/nathpulppapermills/NPP
61,National Auto Accessories Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/nationalautoaccessories/NAA
62,National Fittings Ltd.,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/nationalfittings/ITP01
63,National Flask Ltd.,https://www.moneycontrol.com/india/stockpricequote/plastics/nationalflask/NF05
64,National General Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelrolling/nationalgeneralindustries/NGI03
65,National Oxygen Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/nationaloxygen/NO
66,National Peroxide Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/nationalperoxide/NP03
67,National Plastic Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/plastics/nationalplasticindustries/NPI
68,National Plywood Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/nationalplywoodindustries/NPI01
69,National Standard (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/engineering/nationalstandardindia/NSD
70,National Steel & Agro Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelgpgcsheets/nationalsteelagroindustries/NSA02
71,National Switchgears Ltd.,https://www.moneycontrol.com/india/stockpricequote/electricequipment/nationalswitchgears/NS01
72,National Plastic Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/plastics/nationalplastictechnologies/NPT
73,Natraj Proteins Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/natrajproteins/NP04
74,Natura Hue Chem Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/naturahuechem/NHC
75,Natural Biocon (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/naturalbioconindia/NBI01
76,Natural Capsules PP Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticalsdrugs/naturalcapsulespp/NCP01
77,NATURAL CAPSULES RE Ltd.,https://www.moneycontrol.com/india/stockpricequote/naturalcapre/naturalcapsulesre/NCR
78,Natural Capsules Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/naturalcapsules/NC03
79,Natural Expo Agro Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/naturalexpoagroindustries/NEA01
80,Natural Stone Exports Ltd.,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/naturalstoneexports/NSE01
81,Naturite Agro Products Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/naturiteagroproducts/NAP01
82,Naturo Indiabull Ltd.,https://www.moneycontrol.com/india/stockpricequote/consumerfood/naturoindiabull/NI20
83,NAVA Ltd.,https://www.moneycontrol.com/india/stockpricequote/diversified/nava/NBV
84,Nava Bharat Enterprises Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/navabharatenterprises/NBE
85,Naval Technoplast Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/plastics/navaltechnoplastindustries/NTI01
86,Navcom Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/navcomindustries/NI03
87,Naveen Textiles Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/naveentextiles/NTL01
88,Navigant Corporate Advisors Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/navigantcorporateadvisors/NCA01
89,Navin Fluorine International Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/navinfluorineinternational/NFI
90,Navkar Corporation Ltd.,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/navkarcorporation/NC02
91,Navkar Urbanstructure Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/navkarurbanstructure/NB01
92,Navketan Merchants  Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/navketanmerchants/NM03
93,Navneet Education Ltd.,https://www.moneycontrol.com/india/stockpricequote/printingstationery/navneeteducation/NP01
94,Navoday Enterprises Ltd.,https://www.moneycontrol.com/india/stockpricequote/misccommercialservices/navodayenterprises/NE11
95,Navsari Cotton and Silk Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/navsaricottonsilkmills/NCS
96,Navyug Elect Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/navyugelect/NE05
97,Nayagara Paper Products Ltd.,https://www.moneycontrol.com/india/stockpricequote/printingstationery/nayagarapaperproducts/NPP01
98,Naysaa Securities Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/naysaasecurities/NS06
99,Naysaa Securities RE Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeothers/naysaasecuritiesre/NSR
100,Nazara Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/software/nazaratechnologies/NT
101,NB Footwear Ltd.,https://www.moneycontrol.com/india/stockpricequote/nbfootwear/nbfootwear/NBF
102,NBCC (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/nbccindia/NBC01
103,NBI Industrial Finance Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/nbiindustrialfinancecompany/NBI02
104,NCC Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ncc/NCC01
105,NCC Blue Water Products Ltd.,https://www.moneycontrol.com/india/stockpricequote/aquaculture/nccbluewaterproducts/NCC
106,NCC Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/nccfinance/NCC03
107,NCL Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmini/nclindustries/NCL
108,NCL Marbles & Granites Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/nclmarblesgranites/NCL04
109,NCL Research and Financial Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/nclresearchfinancialservices/NCL01
110,NCL Seccolor Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/nclseccolor/NCL02
111,NCL Research and Financial Services RE Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestment/nclresearchfinancialservicesre/NRF
112,ND Metal Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/ndmetal/ndmetalindustries/NDM
113,NDA Securities Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/ndasecurities/NDA
114,NDL Ventures Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/ndlventures/HV
115,Ndr Auto Components Ltd.,https://www.moneycontrol.com/india/stockpricequote/ndrautocompon/ndrautocomponents/NAC02
116,New Delhi Television Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/newdelhitelevision/NDT01
117,North Eastern Carrying Corporation RE Ltd.,https://www.moneycontrol.com/india/stockpricequote/logistics/northeasterncarryingcorporationre/NEC02
118,Nectar Lifesciences Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/nectarlifesciences/NL01
119,Nedungadi Bank Ltd.,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/nedungadibank/NB
120,Neelamalai Agro Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/neelamalaiagroindustries/NAI02
121,Neelkanth Motels and Hotels Ltd.,https://www.moneycontrol.com/india/stockpricequote/hotels/neelkanthmotelshotels/NMH
122,Neelkanth Rockminerals Ltd.,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/neelkanthrockminerals/NR01
123,Neeraj Paper Marketing Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/neerajpapermarketing/NPM02
124,Negotium International Trade Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/negotiuminternationaltrade/MIT
125,Neha Exports Ltd.,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/nehaexports/NEL03
126,Neha International Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/nehainternational/NI04
127,Neha Proteins Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/nehaproteins/NP06
128,Neil industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/neilindustries/neilindustries/N53
129,Nelcast Ltd.,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/nelcast/N06
130,NELCO Ltd.,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/nelco/NEL
131,Neo Corp International Ltd.,https://www.moneycontrol.com/india/stockpricequote/packaging/neocorpinternational/NS02
132,Neo Infracon Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesterrytowels/neoinfracon/AI18
133,Neo Intex Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/neointexmills/NIM
134,Neogem India Ltd.,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/neogemindia/NI05
135,Neogen Chemicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/neogenchemicals/NC11
136,Neotech Solutions & Securities Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/neotechsolutionssecurities/NSS
137,NEPC Agro Foods Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/nepcagrofoods/NEP
138,NEPC India Ltd.,https://www.moneycontrol.com/india/stockpricequote/engineering/nepcindia/NEP01
139,NEPC Paper and Board Ltd.,https://www.moneycontrol.com/india/stockpricequote/paper/nepcpaperboard/NEP02
140,NEPC Textiles Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/nepctextiles/NEP03
141,Neptune Exports Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/neptuneexports/NEL02
142,NESCO Ltd.,https://www.moneycontrol.com/india/stockpricequote/diversified/nesco/NES
143,Nestle India Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/nestleindia/NI
144,Net 4 India Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/net4india/NI16
145,Net Axis Software Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/netaxissoftwareservices/NAS
146,Net Pix Shorts Digital Media Ltd.,https://www.moneycontrol.com/india/stockpricequote/netpix/netpixshortsdigitalmedia/NPS01
147,NETF Ltd.,https://www.moneycontrol.com/india/stockpricequote/netf/netf/NETF7838
148,Netflier Finco Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/netflierfinco/NF9
149,Netlink Solutions Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/netlinksolutions/NS11
150,Netripples Com Software Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/netripplescomsoftware/NCS01
151,Nettlinx Ltd.,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/nettlinx/NS05
152,Netvision Web Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/netvisionwebtechnologies/NWT
153,Netvista Information Technology Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/netvistainformationtechnology/NIT
